TARGET,OEXP,POLARITY
Hotel,full of Russians and children,Negative
evening entertainment,Not suitable for couples without children,Negative
evening entertainment,almost nill,Negative
evening entertainment,geared for families,Negative
The bar staff,make nice comments,Positive
The bar staff,did make an effort to smile,Positive
The bar staff,overworked,Negative
The bar staff,tired,Negative
Room,large,Positive
Room,very clean,StrongPositive
"bread , soup and desserts",good,Positive
Hotel,full of badly behaved children,StrongNegative
The food,edible,Positive
The food,very basic,StrongNegative
Condition of the room,very poor,StrongNegative
Condition of the room,was not cleaned properly,Negative
Attending for issues,ok,Positive
Room service,needs to be improved,Negative
some of the Linen,damaged,Negative
The spa,perfect,StrongPositive
sauna,perfect,StrongPositive
jaccuzzi,perfect,StrongPositive
meal,good,Positive
it,easily to access,Positive
This hotel,perfect,StrongPositive
choice,good,Positive
lift,dedicaced,Positive
weekend,lovely,StrongPositive
weekend,relaxing,Positive
People,great !,StrongPositive
Staff,great,Positive
the whole holiday package,fantastic !,StrongPositive
hotel,Nicest ever !,StrongPositive
,Will definitely be retuning,StrongPositive
holiday place,my favourite I have ever been to !,StrongPositive
here,advise people to go,Positive
breakfast,there is no,Negative
the hostel,recommend only for a short stay in the city,Negative
its placement,a big advantage,Positive
its placement,at the very centre of Madrid,Positive
restaurant,no,Negative
,"walking distance to Sol , Gran Via etc.",Positive
it,is worth trying,Positive
hostel,in the centre of Madrid,Positive
hostel,cheap,Positive
Hotel,excellent,StrongPositive
the staff,very friendly,StrongPositive
The holiday,everything we 've hoped for,Positive
anything to complain about,cannot find,Positive
playing ground,not available,Negative
a balcony,had,Positive
flat,good size,Positive
screen TV,good size,Positive
The location,so close to The Louvre,StrongPositive
The location,walking distance to most other major tourist sights and also to the train stations,Positive
The location,the most appealing aspect,Positive
room artwork,very nice,StrongPositive
bed,very comfy,StrongPositive
bus,great way to get around and familiarise yourself with the area,Positive
The location,so close to the Louvre and many other sights,StrongPositive
The location,fantastic,StrongPositive
a lift,There is,Positive
the deserts,very good,StrongPositive
,are satisfied,Positive
Hotel,nice,Positive
The staff,really nice,StrongPositive
beach,clean,Positive
beach,reachable after 166 steps downstairs ( or upstairs ),Negative
The food,ok.,Positive
the rooms,clean,Positive
this,nice alternation,Positive
this,great fun,StrongPositive
Hotel,perfekt,StrongPositive
buffet,giant,StrongPositive
hotel,Nice,Positive
it,have to queue for,Negative
it,annoying to wait for,Negative
staff.The,friendly,Positive
food,a lot of,Positive
staff,friendly,Positive
offer,good,Positive
a market,there is,Positive
location,Ideal for the Forum convention center,StrongPositive
,with a shopping center on the other side of the street,Positive
,Close to the beach,Positive
,Very good,StrongPositive
room,with sea views,Positive
A hotel,within the Hilton standard,Positive
bed,Very comfortable,StrongPositive
my room,not fully ready,Negative
room,Great,StrongPositive
room,quit,Positive
room,clean,Positive
room,improved,Positive
room,offered,Positive
room,with riverside view,Positive
stay,Perfect !,StrongPositive
value for money,Great,StrongPositive
My room,seemed to be taken,Negative
the rooms,small,Negative
the rooms,very practical,Positive
,Practical,Positive
It,walking distance from the airport,Positive
customer,a happy,Positive
All,possitive,Positive
city centre Koln,close,Positive
wellness hotel,Beautiful,Positive
hotel,Very nice,StrongPositive
hotel,next to Les Halles metro and RER station,Positive
hotel,situated in the middle of Paris,Positive
,can easily find connections to every tourist attractions,Positive
Rooms with a view on other site,very quiet,StrongPositive
clubs,Near hotel there are,Positive
many bars,Near hotel there are,Positive
pubs,Near hotel there are,Positive
The most disadvantage,noise from the fountain situated on square next to the hotel,Negative
dishwasher,there is,Positive
microwave,there is,Positive
electric kettle,there is,Positive
toaster,there is,Positive
place,Best,StrongPositive
place,in a very middle of Paris,StrongPositive
Louvre,less than 5 mins walk,Positive
Notre Dame,less than 5 mins walk,Positive
river Seine,less than 5 mins walk,Positive
Centre Pompidou,less than 5 mins walk,Positive
Nothing,was too much trouble,Positive
range,good,Positive
The food,really nice,StrongPositive
,would love to go back,Positive
,One of the best holidays,StrongPositive
resort,Really lovely,StrongPositive
staff,wonderful,StrongPositive
The atmosphere,wonderful,StrongPositive
plenty of tables,there were,Positive
crockery / cutlery etc,not enough,Negative
Piped music,so loud,StrongNegative
the food,cold,Negative
tables,not enough,Negative
,Not very good !,StrongNegative
Hotel,clean,Positive
Hotel,very nice,StrongPositive
Hotel,well maintained,Positive
They,smoked everywhere,Negative
They,not pleasant,Negative
,would like to come back,Positive
The staff,courteous,Positive
The staff,very friendly,StrongPositive
environment,attractive,Positive
domicile,very good,StrongPositive
domicile,very good,StrongPositive
environment,attractive,Positive
Hotel room,too warm,Negative
table top board,small,Negative
iron,No,Negative
ironing board,No,Negative
,useless for removing creases in cotton shirts,Negative
air conditioning,not powerful enough,Negative
breakfast,Reasonable,Negative
steam iron,non supplied,Negative
hotel,Comfortable,Positive
hotel,close to Central Rail station in Antwerp and shops and restaurants,Positive
hotel,modern,Positive
low · fat options,no,Negative
Fruit choice,not large,Negative
the gym,quite small,Negative
the gym,new equipment,Positive
the gym,available,Positive
Service,friendly,Positive
Service,good,Positive
breakfast,a little bit expensive,Negative
the room,cleaned every day,Positive
rooms,nice,Positive
Hotel,good,Positive
that,really liked,StrongPositive
the dinner,always nice,StrongPositive
room,had,Positive
room,nice,Positive
room,big,Positive
pool view,nice,Positive
the hotel,well looked after,Positive
welcome by the reseption and the general mangers,had,Positive
welcome by the reseption and the general mangers,nice,Positive
meet with the animation staff,nice,Positive
meet with the animation staff,had,Positive
the bar staff,help full,Positive
waiters,help full,Positive
a nite were we could not find something to eat,there was never,Positive
it,same as 9years ago,Negative
,clean,Positive
,not updated,Negative
breakfast,good,Positive
rooms,not to many,Negative
rest of meals,not enough choice,Negative
tee times,organised,Positive
transport,organised,Positive
Hotel,offers,Positive
Hotel,nice spa,Positive
pool area,large,Positive
its beach,enough space,Positive
,will definitely come back !,StrongPositive
place,Excelent,StrongPositive
Golf courses,can be easily reached,Positive
Hospitality,at the highest level,StrongPositive
services,at the highest level,StrongPositive
The staff,very helpfull,StrongPositive
,will come again !,StrongPositive
Sri Lanka,will come again !,StrongPositive
they,taking care about the guests !,StrongPositive
stay,wonderful,StrongPositive
there,will come back,Positive
the team of the main restaurant,nice,Positive
the team of the main restaurant,really professionell,StrongPositive
Everybody,very kind,StrongPositive
Everybody,friendly,Positive
holiday,very nice,StrongPositive
Room amenities,below standard,Negative
The room,not look very clean,Negative
television,very old,StrongNegative
architectual design,special,Positive
features,special,Positive
water heater,no,Negative
the lighting,below standard,Negative
vouchers for meals and drinks,useless,Negative
vouchers for meals and drinks,free,Positive
The hotel,might be appealing,Positive
the room quality,disappointing,Negative
the service,disappointing,Negative
the room quality,quite bad,Negative
the service,quite bad,Negative
The wifi internet connection,good,Positive
The breakfast,correct,Positive
lounge,Nice,Positive
gym,There is,Positive
gym,little,Negative
The room,clean,Positive
The room,big,Positive
The room,air conditioning,Positive
hotel,Good,Positive
hotel,good,Positive
access,easy,Positive
Gym,are,Positive
swimming pool,are,Positive
shuttle bus service,Good,Positive
location,good,Positive
5 star hotel,Excellent,StrongPositive
two boats,available,Positive
